Cust_ID,Name,Age,Gender,Location,Marital_Status,Education,Occupation,MOB,Income,Dependents,Digital_ind,Email,Phone,Address
61,Customer 61,35,Other,Jaipur,Separated,High School Diploma,Writer,81,2809556,3,0,Customer 61@gmail.com,+91 1413934120,
62,Customer 62,48,Female,Delhi,Separated,Professional Degree,Graphic Designer,198,483682,2,1,Customer 62@gmail.com,+91 6823160283,
63,Customer 63,56,Female,Indore,Divorced,Masters Degree,Teacher,207,4996039,1,1,Customer 63@gmail.com,+91 1709887524,
64,Customer 64,25,Female,Vadodara,Separated,Masters Degree,Graphic Designer,128,925241,2,0,Customer 64@gmail.com,+91 3937909039,
65,Customer 65,44,Male,Ludhiana,Widower,Masters Degree,Banker,183,2692757,4,0,Customer 65@gmail.com,+91 1912626492,
66,Customer 66,25,Other,Kochi,Separated,High School Diploma,Investment Banker,203,4980102,4,1,Customer 66@gmail.com,+91 8095061703,
67,Customer 67,42,Female,Jodhpur,Unmarried,Professional Degree,Artist,207,181443,3,0,Customer 67@gmail.com,+91 0485632802,
68,Customer 68,66,Other,Kochi,Unmarried,Bachelors Degree,Civil Engineer,150,292292,0,0,Customer 68@gmail.com,+91 4237673810,
69,Customer 69,70,Other,Dehradun,Married,Doctorate Degree,Chef,228,4967814,4,1,Customer 69@gmail.com,+91 7134522919,
70,Customer 70,30,Female,Kochi,Unmarried,Professional Degree,Project Manager,124,3387780,4,0,Customer 70@gmail.com,+91 2972989632,
71,Customer 71,61,Other,Kochi,Married,Bachelors Degree,Sales Executive,53,1392331,3,0,Customer 71@gmail.com,+91 8600015572,
72,Customer 72,34,Female,Amritsar,Separated,Masters Degree,Driver,224,2494026,1,1,Customer 72@gmail.com,+91 4458700090,
73,Customer 73,33,Other,Ahmedabad,Unmarried,Masters Degree,Social Media Manager,13,66807,0,0,Customer 73@gmail.com,+91 6199245186,
74,Customer 74,36,Male,Raipur,Divorced,Professional Degree,Hair Stylist,24,2669831,4,0,Customer 74@gmail.com,+91 3000530675,
75,Customer 75,25,Other,Coimbatore,Unmarried,Professional Degree,Fashion Designer,33,3349436,1,1,Customer 75@gmail.com,+91 7189664881,
76,Customer 76,48,Male,Jodhpur,Married,Doctorate Degree,Civil Engineer,24,3672282,4,0,Customer 76@gmail.com,+91 0821035146,
77,Customer 77,52,Male,Guwahati,Unmarried,Bachelors Degree,IT Consultant,42,2172553,1,0,Customer 77@gmail.com,+91 4848402885,
78,Customer 78,59,Female,Chandigarh,Widower,High School Diploma,Hair Stylist,177,984093,1,1,Customer 78@gmail.com,+91 2900071440,
79,Customer 79,52,Other,Patna,Married,Doctorate Degree,Consultant,214,2805983,2,0,Customer 79@gmail.com,+91 0106399081,
80,Customer 80,32,Other,Bhilai,Unmarried,Vocational Training or Trade Certification,Marketing Manager,238,2222240,1,1,Customer 80@gmail.com,+91 6667999702,
81,Customer 81,41,Other,Jodhpur,Widower,Professional Degree,Marketing Manager,12,2078647,3,0,Customer 81@gmail.com,+91 7232033696,
82,Customer 82,61,Female,Ludhiana,Separated,Doctorate Degree,Accountant,94,1059080,2,1,Customer 82@gmail.com,+91 7700381342,
83,Customer 83,45,Other,Bhilai,Separated,Professional Degree,Content Writer,230,4175467,1,0,Customer 83@gmail.com,+91 5452206651,
84,Customer 84,30,Other,Pondicherry,Unmarried,Bachelors Degree,Data Analyst,23,492351,3,0,Customer 84@gmail.com,+91 4449837412,
85,Customer 85,45,Female,Jodhpur,Separated,Bachelors Degree,Electrician,79,622006,1,1,Customer 85@gmail.com,+91 8128321169,
86,Customer 86,63,Male,Pune,Married,Doctorate Degree,Insurance Agent,26,2143609,0,0,Customer 86@gmail.com,+91 8814009823,
87,Customer 87,27,Other,Srinagar,Widower,Masters Degree,Fitness Trainer,209,4944299,3,1,Customer 87@gmail.com,+91 5039137005,
88,Customer 88,64,Other,Vadodara,Unmarried,Doctorate Degree,Farmer,195,3262353,4,1,Customer 88@gmail.com,+91 4324682705,
89,Customer 89,25,Female,Rajkot,Married,Vocational Training or Trade Certification,Photographer,6,1704093,3,1,Customer 89@gmail.com,+91 3578618359,
90,Customer 90,38,Male,Ludhiana,Unmarried,Professional Degree,Lawyer,90,204733,1,0,Customer 90@gmail.com,+91 7511607841,
91,Customer 91,69,Other,Indore,Unmarried,Bachelors Degree,Consultant,27,4794252,1,0,Customer 91@gmail.com,+91 2780637117,
92,Customer 92,66,Male,Bhubaneswar,Separated,Masters Degree,Sales Executive,157,4617126,3,1,Customer 92@gmail.com,+91 7325271243,
93,Customer 93,32,Female,Chennai,Separated,Masters Degree,Insurance Agent,140,2787297,3,1,Customer 93@gmail.com,+91 2485067991,
94,Customer 94,34,Other,Jabalpur,Unmarried,Masters Degree,Businessman,35,3053982,3,1,Customer 94@gmail.com,+91 1005277997,
95,Customer 95,57,Other,Aurangabad,Divorced,Vocational Training or Trade Certification,Sports Coach,240,537014,4,1,Customer 95@gmail.com,+91 2821884459,
96,Customer 96,26,Female,Shillong,Separated,Doctorate Degree,Data Analyst,26,3516652,0,0,Customer 96@gmail.com,+91 2967777678,
97,Customer 97,38,Female,Guwahati,Divorced,Masters Degree,Electrician,74,3402693,1,1,Customer 97@gmail.com,+91 0699586943,
98,Customer 98,29,Other,Patna,Unmarried,High School Diploma,Project Manager,71,2075635,4,1,Customer 98@gmail.com,+91 9109694610,
99,Customer 99,43,Other,Coimbatore,Unmarried,Masters Degree,Professor,219,943294,2,0,Customer 99@gmail.com,+91 8250865962,
100,Customer 100,48,Other,Pondicherry,Divorced,Doctorate Degree,Sales Executive,225,3566097,3,1,Customer 100@gmail.com,+91 3233501510,
101,Customer 101,38,Other,Dehradun,Widower,Professional Degree,Driver,26,2170535,0,1,Customer 101@gmail.com,+91 5418035698,
102,Customer 102,51,Other,Pune,Widower,Vocational Training or Trade Certification,Doctor,209,591438,3,0,Customer 102@gmail.com,+91 4459136325,
103,Customer 103,50,Female,Nashik,Divorced,Vocational Training or Trade Certification,Investment Banker,238,1079544,4,1,Customer 103@gmail.com,+91 4261517846,
104,Customer 104,33,Female,Ranchi,Unmarried,Vocational Training or Trade Certification,Farmer,87,1785244,0,0,Customer 104@gmail.com,+91 4701035272,
105,Customer 105,46,Female,Faridabad,Married,Masters Degree,Real Estate Agent,186,4015937,4,1,Customer 105@gmail.com,+91 8470204186,
106,Customer 106,63,Other,Allahabad,Separated,Doctorate Degree,Sales Executive,46,2371031,3,0,Customer 106@gmail.com,+91 8942013863,
107,Customer 107,62,Female,Amritsar,Divorced,Masters Degree,Insurance Agent,100,1815513,4,0,Customer 107@gmail.com,+91 7502900238,
108,Customer 108,45,Male,Shillong,Married,Bachelors Degree,Financial Planner,46,4635741,2,1,Customer 108@gmail.com,+91 3871641628,
109,Customer 109,29,Male,Indore,Divorced,Doctorate Degree,Software Engineer,79,1607083,2,0,Customer 109@gmail.com,+91 9439824841,
110,Customer 110,35,Male,Hyderabad,Married,Professional Degree,Electrician,75,2646970,0,0,Customer 110@gmail.com,+91 3787374740,
111,Customer 111,56,Female,Hyderabad,Widower,High School Diploma,Doctor,107,1825796,3,1,Customer 111@gmail.com,+91 5393578106,
112,Customer 112,69,Female,Chandigarh,Unmarried,Vocational Training or Trade Certification,Hair Stylist,163,4012356,0,1,Customer 112@gmail.com,+91 6933197111,
113,Customer 113,35,Male,Bhopal,Married,Professional Degree,Human Resources Manager,230,2908834,1,1,Customer 113@gmail.com,+91 8444636105,
114,Customer 114,35,Other,Pondicherry,Married,Vocational Training or Trade Certification,Architect,144,1910230,1,1,Customer 114@gmail.com,+91 1703820191,
115,Customer 115,62,Other,Pune,Unmarried,Bachelors Degree,Content Writer,82,1178558,2,1,Customer 115@gmail.com,+91 0642316539,
116,Customer 116,44,Other,Shillong,Widower,Professional Degree,Photographer,196,3700651,2,1,Customer 116@gmail.com,+91 8928487037,
117,Customer 117,32,Other,Amritsar,Unmarried,Doctorate Degree,Sales Executive,92,453368,2,1,Customer 117@gmail.com,+91 5555726747,
118,Customer 118,49,Female,Mysore,Widower,High School Diploma,Doctor,230,3923482,0,0,Customer 118@gmail.com,+91 2587274376,
119,Customer 119,39,Female,Gwalior,Unmarried,Bachelors Degree,Driver,187,2601513,2,1,Customer 119@gmail.com,+91 3938048041,
120,Customer 120,67,Other,Shillong,Widower,Masters Degree,Data Analyst,9,1503924,1,1,Customer 120@gmail.com,+91 9856441507,
121,Customer 121,28,Male,Pondicherry,Widower,Masters Degree,Doctor,237,278818,1,0,Customer 121@gmail.com,+91 4389477521,
122,Customer 122,32,Male,Guwahati,Divorced,Masters Degree,Doctor,181,2168072,1,0,Customer 122@gmail.com,+91 2773947488,
123,Customer 123,63,Male,Bareilly,Widower,Vocational Training or Trade Certification,Content Writer,240,4294868,4,0,Customer 123@gmail.com,+91 7765999740,
124,Customer 124,61,Male,Faridabad,Separated,Bachelors Degree,Carpenter,115,3045923,3,0,Customer 124@gmail.com,+91 2615247481,
125,Customer 125,54,Female,Lucknow,Divorced,Vocational Training or Trade Certification,Sports Coach,214,1794446,4,1,Customer 125@gmail.com,+91 5910938536,
126,Customer 126,48,Other,Gwalior,Separated,Masters Degree,Farmer,123,197475,0,0,Customer 126@gmail.com,+91 2115864425,
127,Customer 127,48,Other,Mysore,Unmarried,Bachelors Degree,Delivery Person,121,4210328,0,0,Customer 127@gmail.com,+91 3417379089,
128,Customer 128,60,Female,Jaipur,Married,Bachelors Degree,Event Planner,109,4873277,4,0,Customer 128@gmail.com,+91 7847550529,
129,Customer 129,35,Female,Lucknow,Separated,Masters Degree,Lawyer,60,4015043,4,1,Customer 129@gmail.com,+91 9237337631,
130,Customer 130,26,Female,Ludhiana,Unmarried,Professional Degree,Stockbroker,92,3507741,4,0,Customer 130@gmail.com,+91 2635283469,
131,Customer 131,70,Male,Patna,Unmarried,Bachelors Degree,Plumber,16,2745040,4,1,Customer 131@gmail.com,+91 7148517797,
132,Customer 132,57,Other,Jodhpur,Widower,Vocational Training or Trade Certification,Content Writer,56,2703127,3,0,Customer 132@gmail.com,+91 3204726939,
133,Customer 133,48,Male,Srinagar,Widower,Doctorate Degree,Delivery Person,128,2906664,3,1,Customer 133@gmail.com,+91 5107577610,
134,Customer 134,57,Other,Thiruvananthapuram,Divorced,Doctorate Degree,Software Engineer,183,4954656,3,1,Customer 134@gmail.com,+91 7946087749,
135,Customer 135,26,Other,Chennai,Unmarried,Bachelors Degree,Consultant,219,3509352,4,1,Customer 135@gmail.com,+91 1722803558,
136,Customer 136,63,Other,Bhubaneswar,Married,High School Diploma,Marketing Manager,194,538263,1,0,Customer 136@gmail.com,+91 2625080096,
137,Customer 137,66,Female,Jabalpur,Widower,Doctorate Degree,Project Manager,124,38622,4,0,Customer 137@gmail.com,+91 2003326240,
138,Customer 138,70,Male,Coimbatore,Married,High School Diploma,Tour Guide,12,156128,4,1,Customer 138@gmail.com,+91 0878326584,
139,Customer 139,62,Other,Kochi,Unmarried,Masters Degree,Delivery Person,216,3354960,4,0,Customer 139@gmail.com,+91 9794075947,
140,Customer 140,32,Other,Mysore,Widower,Bachelors Degree,Fitness Trainer,124,4404462,2,0,Customer 140@gmail.com,+91 2125591793,
141,Customer 141,26,Female,Pondicherry,Separated,Vocational Training or Trade Certification,Architect,1,3979396,2,0,Customer 141@gmail.com,+91 4311284719,
142,Customer 142,46,Female,Chennai,Married,High School Diploma,Investment Banker,191,218582,0,1,Customer 142@gmail.com,+91 1977403036,
143,Customer 143,41,Other,Jodhpur,Divorced,High School Diploma,Sales Executive,86,4715160,2,0,Customer 143@gmail.com,+91 2222569898,
144,Customer 144,25,Other,Noida,Divorced,High School Diploma,Investment Banker,140,2363466,1,0,Customer 144@gmail.com,+91 2209332091,
145,Customer 145,39,Other,Vadodara,Unmarried,High School Diploma,Electrician,36,3544778,1,0,Customer 145@gmail.com,+91 6290897249,
146,Customer 146,46,Male,Pondicherry,Divorced,Doctorate Degree,Accountant,239,1039225,4,1,Customer 146@gmail.com,+91 3242346125,
147,Customer 147,62,Other,Nashik,Divorced,Vocational Training or Trade Certification,Architect,94,4762388,3,1,Customer 147@gmail.com,+91 8039931434,
148,Customer 148,48,Other,Gwalior,Unmarried,Doctorate Degree,Farmer,173,4459043,3,1,Customer 148@gmail.com,+91 8505787020,
149,Customer 149,52,Other,Noida,Separated,High School Diploma,Software Engineer,220,2604854,3,1,Customer 149@gmail.com,+91 3001507344,
150,Customer 150,48,Other,Srinagar,Divorced,Bachelors Degree,Hair Stylist,137,4407951,3,0,Customer 150@gmail.com,+91 3973214630,
151,Customer 151,62,Female,Hyderabad,Married,Vocational Training or Trade Certification,Sales Executive,128,346635,0,0,Customer 151@gmail.com,+91 7090787075,
152,Customer 152,30,Male,Delhi,Unmarried,Vocational Training or Trade Certification,Delivery Person,39,369692,0,0,Customer 152@gmail.com,+91 7474746749,
153,Customer 153,64,Male,Surat,Widower,Bachelors Degree,Photographer,54,4379423,0,0,Customer 153@gmail.com,+91 8661428852,
154,Customer 154,64,Female,Bhubaneswar,Divorced,Vocational Training or Trade Certification,Event Planner,166,4113372,3,0,Customer 154@gmail.com,+91 0610402350,
155,Customer 155,31,Other,Raipur,Unmarried,Vocational Training or Trade Certification,Banker,165,3060674,3,0,Customer 155@gmail.com,+91 0353109329,
156,Customer 156,25,Male,Srinagar,Widower,Bachelors Degree,Chef,173,3289753,1,0,Customer 156@gmail.com,+91 1752538067,
157,Customer 157,40,Female,Surat,Unmarried,Professional Degree,Social Media Manager,34,649601,0,1,Customer 157@gmail.com,+91 3905543868,
158,Customer 158,54,Male,Guwahati,Divorced,Bachelors Degree,Event Planner,181,2078729,4,0,Customer 158@gmail.com,+91 3842745860,
159,Customer 159,48,Other,Jodhpur,Widower,Bachelors Degree,Financial Analyst,211,4689069,1,0,Customer 159@gmail.com,+91 5334737182,
160,Customer 160,39,Male,Nashik,Widower,Professional Degree,IT Consultant,120,3311964,4,1,Customer 160@gmail.com,+91 1991398888,
161,Customer 161,69,Other,Jodhpur,Widower,Professional Degree,Nurse,22,142587,0,0,Customer 161@gmail.com,+91 0894647581,
162,Customer 162,61,Male,Chennai,Divorced,Vocational Training or Trade Certification,Driver,10,4816782,4,1,Customer 162@gmail.com,+91 0774557817,
163,Customer 163,45,Male,Ghaziabad,Married,Vocational Training or Trade Certification,Investment Banker,159,2397650,2,1,Customer 163@gmail.com,+91 8178398492,
164,Customer 164,38,Female,Dehradun,Widower,Bachelors Degree,Housekeeper,23,4802801,1,1,Customer 164@gmail.com,+91 0382507296,
165,Customer 165,53,Other,Pune,Unmarried,Professional Degree,Plumber,92,3486442,3,1,Customer 165@gmail.com,+91 6608401452,
166,Customer 166,45,Male,Madurai,Married,Vocational Training or Trade Certification,Housekeeper,165,2790025,1,1,Customer 166@gmail.com,+91 3695222307,
167,Customer 167,26,Male,Gwalior,Married,Masters Degree,Consultant,210,2234729,4,1,Customer 167@gmail.com,+91 5772156175,
168,Customer 168,32,Male,Kolkata,Unmarried,Bachelors Degree,Human Resources Manager,93,4205149,0,0,Customer 168@gmail.com,+91 0205683649,
169,Customer 169,30,Female,Chandigarh,Separated,Bachelors Degree,Human Resources Manager,192,2696335,0,0,Customer 169@gmail.com,+91 1718417063,
170,Customer 170,57,Female,Gwalior,Widower,High School Diploma,Sales Executive,184,3667187,4,1,Customer 170@gmail.com,+91 1787033411,
171,Customer 171,46,Male,Faridabad,Widower,Professional Degree,Project Manager,194,4725221,3,0,Customer 171@gmail.com,+91 3585689871,
172,Customer 172,35,Other,Kanpur,Married,Vocational Training or Trade Certification,Delivery Person,158,4165646,3,0,Customer 172@gmail.com,+91 1312844270,
173,Customer 173,50,Male,Dehradun,Unmarried,High School Diploma,Architect,190,928342,0,1,Customer 173@gmail.com,+91 4930542451,
174,Customer 174,36,Female,Faridabad,Separated,Doctorate Degree,Nurse,119,1353465,3,0,Customer 174@gmail.com,+91 2447917959,
175,Customer 175,27,Other,Lucknow,Married,Vocational Training or Trade Certification,Hair Stylist,52,1638030,4,1,Customer 175@gmail.com,+91 5562786642,
176,Customer 176,61,Male,Bhubaneswar,Married,Bachelors Degree,Architect,155,534675,3,0,Customer 176@gmail.com,+91 6129966030,
177,Customer 177,58,Male,Bareilly,Separated,Doctorate Degree,Social Media Manager,132,1260030,2,0,Customer 177@gmail.com,+91 4048731748,
178,Customer 178,46,Male,Ranchi,Separated,Masters Degree,Photographer,8,4365892,1,1,Customer 178@gmail.com,+91 0948823355,
179,Customer 179,44,Other,Coimbatore,Widower,Vocational Training or Trade Certification,Event Planner,16,3891055,4,1,Customer 179@gmail.com,+91 1509473091,
180,Customer 180,25,Other,Vijayawada,Married,Masters Degree,Financial Analyst,33,983703,4,0,Customer 180@gmail.com,+91 1254463751,
181,Customer 181,31,Female,Jamshedpur,Divorced,Professional Degree,Project Manager,196,2130019,4,1,Customer 181@gmail.com,+91 7582014298,
182,Customer 182,58,Female,Jodhpur,Separated,Doctorate Degree,Civil Engineer,175,1793448,3,1,Customer 182@gmail.com,+91 9915918569,
183,Customer 183,43,Female,Nagpur,Unmarried,Bachelors Degree,Insurance Agent,45,1637392,2,0,Customer 183@gmail.com,+91 7951388894,
184,Customer 184,29,Female,Vijayawada,Widower,Masters Degree,Mechanical Engineer,184,1041230,3,0,Customer 184@gmail.com,+91 7074821579,
185,Customer 185,39,Female,Vadodara,Separated,Masters Degree,Driver,143,3872152,1,0,Customer 185@gmail.com,+91 9898991405,
186,Customer 186,45,Other,Ranchi,Widower,Vocational Training or Trade Certification,Farmer,36,132587,3,0,Customer 186@gmail.com,+91 7507640474,
187,Customer 187,42,Male,Vadodara,Divorced,Vocational Training or Trade Certification,Fitness Trainer,61,857373,1,1,Customer 187@gmail.com,+91 9370169777,
188,Customer 188,58,Other,Vijayawada,Divorced,Masters Degree,Architect,217,2046011,2,1,Customer 188@gmail.com,+91 9703934538,
189,Customer 189,68,Female,Jamshedpur,Unmarried,Professional Degree,Delivery Person,110,4292532,3,0,Customer 189@gmail.com,+91 9368122459,
190,Customer 190,33,Female,Panaji,Married,High School Diploma,Mechanical Engineer,42,2577797,2,1,Customer 190@gmail.com,+91 0120343086,
191,Customer 191,29,Other,Kanpur,Separated,High School Diploma,Mechanical Engineer,91,2162662,2,0,Customer 191@gmail.com,+91 9020272421,
192,Customer 192,45,Male,Vijayawada,Married,Professional Degree,Mechanical Engineer,61,3551963,4,1,Customer 192@gmail.com,+91 5340998861,
193,Customer 193,70,Male,Lucknow,Separated,Masters Degree,Lawyer,200,4384752,3,0,Customer 193@gmail.com,+91 4894591991,
194,Customer 194,25,Male,Mumbai,Divorced,High School Diploma,Real Estate Agent,91,1606027,3,1,Customer 194@gmail.com,+91 9774336883,
195,Customer 195,56,Female,Kolkata,Separated,Doctorate Degree,Consultant,102,2734105,3,0,Customer 195@gmail.com,+91 5766981977,
196,Customer 196,53,Female,Allahabad,Divorced,High School Diploma,Nurse,88,2471740,1,0,Customer 196@gmail.com,+91 4295332507,
197,Customer 197,41,Female,Vijayawada,Unmarried,High School Diploma,Data Analyst,106,977541,1,1,Customer 197@gmail.com,+91 7558477846,
198,Customer 198,66,Other,Patna,Married,Professional Degree,Architect,2,764336,4,1,Customer 198@gmail.com,+91 0857736084,
